DOCUMENTO,AVALIACAO,AVALIACAO_ANTERIOR
87731828603,77,84
91576081480,81,76
61077224791,83,100
33322170298,48,62
15970398316,50,59
77204843138,61,95
19838073166,97,33
74650189046,83,45
77511633100,66,40
82281040133,72,74
27356481094,61,85
20248798079,72,80
26792333283,84,50
68242849119,83,79
17542080124,95,100
32835693313,95,64
98203086934,64,78
20000721718,93,100
92867133655,62,92
96383591957,71,38
71180880470,63,33
13665341049,96,72
51898528681,86,72
87838902248,76,81
35873219634,95,61
15805058360,99,87
67558834368,68,56
93773982314,86,95
67999277310,88,77
49742088626,72,76
17722963846,87,87
65876147756,67,73
44113061918,60,63
86617469295,91,95
54078727459,78,74
64645221921,70,63
25206611143,94,99
80499060330,35,65
31308436375,100,89
97693413445,80,71
53133952390,64,85
72999318159,51,73
72585082940,62,100
84922800484,86,90
81488265521,40,64
85742410493,60,61
52790306196,89,67
41472917057,82,97
39541038767,87,78
49365610564,41,60
44345443750,65,81
55076843987,88,49
50877032809,54,74
93669743097,100,77
48181536228,97,74
32400581902,82,75
92898319744,92,51
30994580015,68,99
78468504655,87,76
16481750055,65,52
81865659245,79,90
28395539845,98,85
48661541466,37,40
25341832146,65,59
26981837084,61,85
67609169345,63,31
57535829579,66,78
18286396047,91,90
99536149327,67,45
54128132983,100,76
23698617378,71,34
63300943307,66,72
75216327823,80,31
83778908080,52,71
25064071315,64,57
21575945056,88,73
52405438859,79,59
52213738611,83,60
76714953553,97,97
89298331414,75,75
70779665613,46,85
93619457866,39,85
44832476468,87,93
63810687092,77,60
27029631695,66,92
13865438841,75,86
22957324039,86,86
25033937629,64,92
13141917229,71,92
47882775486,95,48
79212561047,84,93
17449818575,98,99
51905409420,95,83
28839897406,98,69
95354832513,57,84
49247748438,82,30
99509705063,44,97
14918589101,76,51
13938918469,55,30
40360249373,55,46
66820487964,76,48
83497672281,92,84
82621167332,66,68
45478173345,95,59
15982766396,74,100
76670888588,91,64
39248792894,49,73
51061638205,81,70
90689328408,71,78
25204191172,72,87
96475264161,95,91
69524543184,99,93
52067381943,40,60
84417049933,81,98
90627007536,95,94
62098387448,40,93
12016478992,96,75
47091625836,66,55
11822398270,66,49
37578711649,86,66
37495353970,56,75
16939105427,93,79
44277726281,78,59
12851886885,48,96
23860547078,92,77
55918529832,77,99
39537582200,88,92
74586836411,66,45
49588941424,51,81
89492477973,30,75
64221154920,81,76
73845589959,46,63
48547084699,86,89
64587170677,89,100
35068376864,100,89
83440643565,72,50
23989592615,99,73
43403751027,83,72
19689096569,97,87
84532275456,34,70
41833514675,95,80
21654010831,82,58
55496541401,98,64
83216307212,60,39
12286633808,31,92
98254980395,47,67
93940073834,69,73
77144499962,92,60
50840578468,57,80
41692465398,36,55
43057985351,62,95
74976495300,100,56
49198058632,97,64
96359100870,78,90
37630187433,98,81
75701965317,73,83
18639605809,39,97
77795355635,57,79
17394342395,42,71
11992186388,87,77
34171351316,51,60
34909788853,94,45
25497536099,74,99
68881518676,80,61
16633377737,67,61
58650158983,57,88
44497195858,96,85
68171630353,94,90
80496342271,51,37
44811927735,73,71
43483037511,66,67
41981592707,73,68
30897616277,32,67
28298652856,61,84
93561206229,91,100
31556104247,80,74
80039647539,100,71
26814678014,94,39
54831021195,59,86
21670534458,45,88
21702088733,77,70
26707488508,68,69
19470164831,95,88
90798485774,50,79
78102964287,99,82
25812079258,37,72
46457657389,78,97
33531567608,61,52
31643457258,75,60
20995763061,52,85
46010079233,73,41
64831606712,68,78
91962709484,76,84
86141874663,98,40
58911726840,56,72
16120915413,92,83
78450962309,31,89
95005842496,64,97
26735181966,59,69
51614843888,72,96
